mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	4.0	-1	4/4	1	0						firstMeasure	2
2	2	4	4	4.0	-1	4/4	1	0							3
3	3	8	8	4.0	-1	4/4	1	0							4
4	4	12	12	4.0	-1	4/4	1	0							5
5	5	16	16	4.0	-1	4/4	1	0							6
6	6	20	20	4.0	-1	4/4	1	0							7
7	7	24	24	4.0	-1	4/4	1	0							8
8	8	28	28	4.0	-1	4/4	1	0							9
9	9	32	32	4.0	-1	4/4	1	0							10
10	10	36	36	4.0	-1	4/4	1	0							11
11	11	40	40	4.0	-1	4/4	1	0				double			12
12	12	44	44	4.0	-1	4/4	1	0							13
13	13	48	48	4.0	-1	4/4	1	0							14
14	14	52	52	4.0	-1	4/4	1	0							15
15	15	56	56	4.0	-1	4/4	1	0							16
16	16	60	60	4.0	-1	4/4	1	0							17
17	17	64	64	4.0	-1	4/4	1	0							18
18	18	68	68	4.0	-1	4/4	1	0							19
19	19	72	72	4.0	-1	4/4	1	0							20
20	20	76	76	4.0	-1	4/4	1	0							21
21	21	80	80	4.0	-1	4/4	1	0							22
22	22	84	84	4.0	-1	4/4	1	0							23
23	23	88	88	4.0	-1	4/4	1	0							24
24	24	92	92	4.0	-1	4/4	1	0							25
25	25	96	96	4.0	-1	4/4	1	0							26
26	26	100	100	4.0	-1	4/4	1	0							27
27	27	104	104	4.0	-1	4/4	1	0							28
28	28	108	108	4.0	-1	4/4	1	0							29
29	29	112	112	4.0	-1	4/4	1	0							30
30	30	116	116	4.0	-1	4/4	1	0							31
31	31	120	120	4.0	-1	4/4	1	0							32
32	32	124	124	4.0	-1	4/4	1	0							33
33	33	128	128	4.0	-1	4/4	1	0					line		34
34	34	132	132	9.0	-1	4/4	9/4	0							35
35	35	141	141	5.25	-1	4/4	21/16	0							36
36	36	585/4	585/4	4.0	-1	4/4	1	0							37
37	37	601/4	601/4	4.0	-1	4/4	1	0							38
38	38	617/4	617/4	4.0	-1	4/4	1	0							39
39	39	633/4	633/4	4.0	-1	4/4	1	0							40
40	40	649/4	649/4	4.0	-1	4/4	1	0							41
41	41	665/4	665/4	4.0	-1	4/4	1	0							42
42	42	681/4	681/4	4.0	-1	4/4	1	0							43
43	43	697/4	697/4	4.0	-1	4/4	1	0							44
44	44	713/4	713/4	4.0	-1	4/4	1	0					line		45
45	45	729/4	729/4	4.0	-1	4/4	1	0							46
46	46	745/4	745/4	4.0	-1	4/4	1	0							47
47	47	761/4	761/4	4.0	-1	4/4	1	0							48
48	48	777/4	777/4	4.0	-1	4/4	1	0							49
49	49	793/4	793/4	6.375	-1	4/4	51/32	0							50
50	50	1637/8	1637/8	4.0	-1	4/4	1	0							51
51	51	1669/8	1669/8	4.0	-1	4/4	1	0							52
52	52	1701/8	1701/8	4.0	-1	4/4	1	0							53
53	53	1733/8	1733/8	4.0	-1	4/4	1	0							54
54	54	1765/8	1765/8	4.0	-1	4/4	1	0							55
55	55	1797/8	1797/8	4.0	-1	4/4	1	0							56
56	56	1829/8	1829/8	4.0	-1	4/4	1	0							57
57	57	1861/8	1861/8	4.0	-1	4/4	1	0							58
58	58	1893/8	1893/8	4.25	-1	4/4	17/16	0							59
59	59	1927/8	1927/8	4.0	-1	4/4	1	0							60
60	60	1959/8	1959/8	2.0	2	2/4	1/2	0						start	61
61	61	1975/8	1975/8	2.0	2	2/4	1/2	0							62
62	62	1991/8	1991/8	2.0	2	2/4	1/2	0							63
63	63	2007/8	2007/8	2.0	2	2/4	1/2	0							64
64	64	2023/8	2023/8	2.0	2	2/4	1/2	0							65
65	65	2039/8	2039/8	2.0	2	2/4	1/2	0							66
66	66	2055/8	2055/8	2.0	2	2/4	1/2	0							67
67	67	2071/8	2071/8	2.0	2	2/4	1/2	0						end	60, 68
68	68	2087/8	2087/8	2.0	2	2/4	1/2	0						start	69
69	69	2103/8	2103/8	2.0	2	2/4	1/2	0							70
70	70	2119/8	2119/8	2.0	2	2/4	1/2	0							71
71	71	2135/8	2135/8	2.0	2	2/4	1/2	0							72
72	72	2151/8	2151/8	2.0	2	2/4	1/2	0							73
73	73	2167/8	2167/8	2.0	2	2/4	1/2	0							74
74	74	2183/8	2183/8	2.0	2	2/4	1/2	0							75, 76
75	75		2199/8	2.0	2	2/4	1/2	0	1					end	68
76	76	2199/8	2215/8	2.0	2	2/4	1/2	0	2						77
77	77	2215/8	2231/8	2.0	2	2/4	1/2	0							78
78	78	2231/8	2247/8	2.0	2	2/4	1/2	0							79
79	79	2247/8	2263/8	2.0	2	2/4	1/2	0							80
80	80	2263/8	2279/8	2.0	2	2/4	1/2	0							81
81	81	2279/8	2295/8	2.0	2	2/4	1/2	0							82
82	82	2295/8	2311/8	2.0	2	2/4	1/2	0							83
83	83	2311/8	2327/8	2.0	2	2/4	1/2	0							84
84	84	2327/8	2343/8	2.0	2	2/4	1/2	0							85
85	85	2343/8	2359/8	2.0	2	2/4	1/2	0							86
86	86	2359/8	2375/8	2.0	2	2/4	1/2	0							87
87	87	2375/8	2391/8	2.0	2	2/4	1/2	0							88
